ID,Term,Value
RF,Rainfall,5
CD,Condensation,5
DP,Deposition,45
SF,Snowfall,1565
RFZ,Refreezing,40
EV,Evaporation,5
RU,Runoff,5
SU,Sublimation,175
BMB,Grounded basal melting,45
DISCH,Discharge,1145
CALV,Calving,915
FRONTMELT,Frontal melting,0
SHELFMELT,Sub-shelf melting,525
SHELFFREEZE,Sub-shelf freeze-on,210
GZRET,Grounding line retreat,5
FRONTRET,Frontal retreat,70
FRONTADV,Frontal advance,190
