ID,Term,Value
RF,Rainfall,10
CD,Condensation,5
DP,Deposition,80
SF,Snowfall,2805
RFZ,Refreezing,105
EV,Evaporation,5
RU,Runoff,10
SU,Sublimation,235
BMB,Grounded ice basal melt,70
DISCH,Discharge,2340
CALV,Calving,1775
FRONTMELT,Frontal melt,0
SHELFMELT,Ice shelf basal melt,1375
SHELFFREEZE,Ice shelf basal freeze-on,365
GZRET,Grounding line retreat,45
GZADV,Grounding line advance,0
FRONTRET,Frontal retreat,400
FRONTADV,Frontal advance,195
